"DateTime","Number of Cargo Ships","Number of Tanker Ships","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-10-13 00:00:00",26,7,34.857142857142854,
"2019-10-14 00:00:00",23,9,34.57142857142857,
"2019-10-15 00:00:00",12,19,34.142857142857146,
"2019-10-16 00:00:00",25,9,33.714285714285715,
"2019-10-17 00:00:00",15,19,33.42857142857143,
"2019-10-18 00:00:00",19,13,33.142857142857146,
"2019-10-19 00:00:00",17,14,32.42857142857143,
"2019-10-20 00:00:00",20,17,33,
"2019-10-21 00:00:00",17,14,32.857142857142854,
"2019-10-22 00:00:00",16,14,32.714285714285715,
"2019-10-23 00:00:00",16,16,32.42857142857143,
"2019-10-24 00:00:00",22,9,32,
"2019-10-25 00:00:00",18,13,31.857142857142858,
"2019-10-26 00:00:00",23,12,32.42857142857143,
"2019-10-27 00:00:00",18,13,31.571428571428573,
"2019-10-28 00:00:00",22,14,32.285714285714285,
"2019-10-29 00:00:00",20,11,32.42857142857143,
"2019-10-30 00:00:00",21,15,33,
"2019-10-31 00:00:00",19,18,33.857142857142854,
"2019-11-01 00:00:00",28,10,34.857142857142854,
"2019-11-02 00:00:00",22,14,35,
"2019-11-03 00:00:00",17,16,35.285714285714285,
"2019-11-04 00:00:00",18,14,34.714285714285715,
"2019-11-05 00:00:00",13,18,34.714285714285715,
"2019-11-06 00:00:00",20,17,34.857142857142854,
"2019-11-07 00:00:00",19,17,34.714285714285715,
"2019-11-08 00:00:00",23,8,33.714285714285715,
"2019-11-09 00:00:00",16,19,33.57142857142857,
"2019-11-10 00:00:00",20,14,33.714285714285715,
"2019-11-11 00:00:00",21,13,34,
"2019-11-12 00:00:00",18,18,34.714285714285715,
"2019-11-13 00:00:00",19,14,34.142857142857146,
"2019-11-14 00:00:00",24,10,33.857142857142854,
"2019-11-15 00:00:00",25,7,34,
"2019-11-16 00:00:00",14,19,33.714285714285715,
"2019-11-17 00:00:00",18,17,33.857142857142854,
"2019-11-18 00:00:00",21,10,33.42857142857143,
"2019-11-19 00:00:00",14,22,33.42857142857143,
"2019-11-20 00:00:00",19,14,33.42857142857143,
"2019-11-21 00:00:00",23,11,33.42857142857143,
"2019-11-22 00:00:00",18,17,33.857142857142854,
"2019-11-23 00:00:00",20,15,34.142857142857146,
"2019-11-24 00:00:00",21,15,34.285714285714285,
"2019-11-25 00:00:00",28,15,36,
"2019-11-26 00:00:00",18,15,35.57142857142857,
"2019-11-27 00:00:00",20,13,35.57142857142857,
"2019-11-28 00:00:00",22,15,36,
"2019-11-29 00:00:00",23,12,36,
"2019-11-30 00:00:00",24,11,36,
"2019-12-01 00:00:00",15,17,35.42857142857143,
"2019-12-02 00:00:00",19,17,34.42857142857143,
"2019-12-03 00:00:00",16,17,34.42857142857143,
"2019-12-04 00:00:00",24,15,35.285714285714285,
"2019-12-05 00:00:00",17,13,34.285714285714285,
"2019-12-06 00:00:00",19,13,33.857142857142854,
"2019-12-07 00:00:00",19,14,33.57142857142857,
"2019-12-08 00:00:00",19,12,33.42857142857143,
"2019-12-09 00:00:00",20,14,33.142857142857146,
"2019-12-10 00:00:00",15,17,33,
"2019-12-11 00:00:00",23,10,32.142857142857146,
"2019-12-12 00:00:00",17,15,32.42857142857143,
"2019-12-13 00:00:00",26,8,32.714285714285715,
"2019-12-14 00:00:00",18,16,32.857142857142854,
"2019-12-15 00:00:00",16,15,32.857142857142854,
"2019-12-16 00:00:00",21,12,32.714285714285715,
"2019-12-17 00:00:00",17,15,32.714285714285715,
"2019-12-18 00:00:00",22,11,32.714285714285715,
"2019-12-19 00:00:00",24,12,33.285714285714285,
"2019-12-20 00:00:00",15,15,32.714285714285715,
"2019-12-21 00:00:00",20,13,32.57142857142857,
"2019-12-22 00:00:00",18,13,32.57142857142857,
"2019-12-23 00:00:00",15,18,32.57142857142857,
"2019-12-24 00:00:00",15,15,32.285714285714285,
"2019-12-25 00:00:00",22,11,32.285714285714285,
"2019-12-26 00:00:00",22,13,32.142857142857146,
"2019-12-27 00:00:00",26,10,33,
"2019-12-28 00:00:00",16,9,31.857142857142858,
"2019-12-29 00:00:00",18,10,31.428571428571427,
"2019-12-30 00:00:00",19,16,31.714285714285715,
"2019-12-31 00:00:00",14,17,31.857142857142858,
"2020-01-01 00:00:00",13,12,30.714285714285715,
"2020-01-02 00:00:00",16,14,30,37
"2020-01-03 00:00:00",25,7,29.428571428571427,36
"2020-01-04 00:00:00",18,14,30.428571428571427,33.5
"2020-01-05 00:00:00",15,15,30.714285714285715,34.2
"2020-01-06 00:00:00",17,17,30.571428571428573,33
"2020-01-07 00:00:00",19,15,31,33
"2020-01-08 00:00:00",19,14,32.142857142857146,30.142857142857142
"2020-01-09 00:00:00",18,12,32.142857142857146,30.142857142857142
"2020-01-10 00:00:00",20,11,32,29.285714285714285
"2020-01-11 00:00:00",21,11,32,29.571428571428573
"2020-01-12 00:00:00",18,15,32.42857142857143,28.857142857142858
"2020-01-13 00:00:00",20,8,31.571428571428573,29.142857142857142
"2020-01-14 00:00:00",18,13,31.142857142857142,28.571428571428573
"2020-01-15 00:00:00",19,15,31.285714285714285,28.428571428571427
"2020-01-16 00:00:00",26,10,32.142857142857146,29.285714285714285
"2020-01-17 00:00:00",21,13,32.57142857142857,29.571428571428573
"2020-01-18 00:00:00",17,13,32.285714285714285,30.285714285714285
"2020-01-19 00:00:00",17,13,31.857142857142858,29.714285714285715
"2020-01-20 00:00:00",18,17,32.857142857142854,30.714285714285715
"2020-01-21 00:00:00",14,15,32.57142857142857,30.857142857142858
"2020-01-22 00:00:00",20,16,32.857142857142854,32.142857142857146
"2020-01-23 00:00:00",20,13,32.42857142857143,31.428571428571427
"2020-01-24 00:00:00",22,11,32.285714285714285,32.142857142857146
"2020-01-25 00:00:00",13,20,32.714285714285715,31.142857142857142
"2020-01-26 00:00:00",18,14,33,31.714285714285715
"2020-01-27 00:00:00",25,7,32.57142857142857,30.428571428571427
"2020-01-28 00:00:00",15,14,32.57142857142857,30.714285714285715
"2020-01-29 00:00:00",21,10,31.857142857142858,29.714285714285715
"2020-01-30 00:00:00",18,12,31.428571428571427,30
"2020-01-31 00:00:00",17,10,30.571428571428573,29.857142857142858
"2020-02-01 00:00:00",16,13,30,31.142857142857142
"2020-02-02 00:00:00",17,17,30.285714285714285,30.428571428571427
"2020-02-03 00:00:00",20,11,30.142857142857142,31.142857142857142
"2020-02-04 00:00:00",17,17,30.857142857142858,31.142857142857142
"2020-02-05 00:00:00",17,13,30.714285714285715,31.857142857142858
"2020-02-06 00:00:00",22,11,31.142857142857142,31.285714285714285
"2020-02-07 00:00:00",18,17,32.285714285714285,31.428571428571427
"2020-02-08 00:00:00",17,15,32.714285714285715,31.142857142857142
"2020-02-09 00:00:00",23,9,32.42857142857143,31.714285714285715
"2020-02-10 00:00:00",16,14,32.285714285714285,31.142857142857142
"2020-02-11 00:00:00",20,14,32.285714285714285,29.571428571428573
"2020-02-12 00:00:00",17,17,32.857142857142854,29.714285714285715
"2020-02-13 00:00:00",21,15,33.285714285714285,29.428571428571427
"2020-02-14 00:00:00",22,11,33,29
"2020-02-15 00:00:00",15,16,32.857142857142854,28.285714285714285
"2020-02-16 00:00:00",19,12,32.714285714285715,28.857142857142858
"2020-02-17 00:00:00",19,11,32.714285714285715,28.714285714285715
"2020-02-18 00:00:00",18,11,32,30.428571428571427
"2020-02-19 00:00:00",15,13,31.142857142857142,29.142857142857142
"2020-02-20 00:00:00",12,17,30.142857142857142,29.285714285714285
"2020-02-21 00:00:00",17,13,29.714285714285715,29.285714285714285
"2020-02-22 00:00:00",18,14,29.857142857142858,29.857142857142858
"2020-02-23 00:00:00",19,8,29.285714285714285,28.571428571428573
"2020-02-24 00:00:00",20,11,29.428571428571427,29.857142857142858
"2020-02-25 00:00:00",19,8,29.142857142857142,29.714285714285715
"2020-02-26 00:00:00",17,13,29.428571428571427,30.714285714285715
"2020-02-27 00:00:00",17,12,29.428571428571427,31.857142857142858
"2020-02-28 00:00:00",12,19,29.571428571428573,31.857142857142858
"2020-02-29 00:00:00",19,11,29.285714285714285,31
"2020-03-01 00:00:00",19,10,29.571428571428573,31.142857142857142
"2020-03-02 00:00:00",15,18,29.857142857142858,30.571428571428573
"2020-03-03 00:00:00",19,16,31,29.571428571428573
"2020-03-04 00:00:00",19,11,31,29.714285714285715
"2020-03-05 00:00:00",15,15,31.142857142857142,29.142857142857142
"2020-03-06 00:00:00",19,16,31.714285714285715,29.285714285714285
"2020-03-07 00:00:00",18,12,31.714285714285715,30.142857142857142
"2020-03-08 00:00:00",25,11,32.714285714285715,31.428571428571427
"2020-03-09 00:00:00",19,15,32.857142857142854,31.285714285714285
"2020-03-10 00:00:00",18,14,32.42857142857143,32.142857142857146
"2020-03-11 00:00:00",15,17,32.714285714285715,31.857142857142858
"2020-03-12 00:00:00",19,13,33,32.285714285714285
"2020-03-13 00:00:00",21,12,32.714285714285715,31.857142857142858
"2020-03-14 00:00:00",16,14,32.714285714285715,30.857142857142858
"2020-03-15 00:00:00",18,14,32.142857142857146,30.714285714285715
"2020-03-16 00:00:00",20,14,32.142857142857146,30.857142857142858
"2020-03-17 00:00:00",9,24,32.285714285714285,29.571428571428573
"2020-03-18 00:00:00",19,13,32.285714285714285,29.571428571428573
"2020-03-19 00:00:00",22,10,32.285714285714285,29.428571428571427
"2020-03-20 00:00:00",19,12,32,29.714285714285715
"2020-03-21 00:00:00",13,18,32.142857142857146,30.142857142857142
"2020-03-22 00:00:00",17,13,31.857142857142858,29.571428571428573
"2020-03-23 00:00:00",13,18,31.428571428571427,29.142857142857142
"2020-03-24 00:00:00",19,13,31.285714285714285,29.714285714285715
"2020-03-25 00:00:00",16,15,31.142857142857142,30.142857142857142
"2020-03-26 00:00:00",17,12,30.714285714285715,29.714285714285715
"2020-03-27 00:00:00",19,10,30.428571428571427,29
"2020-03-28 00:00:00",18,15,30.714285714285715,29
"2020-03-29 00:00:00",17,13,30.714285714285715,28.714285714285715
"2020-03-30 00:00:00",18,10,30.285714285714285,28.285714285714285
"2020-03-31 00:00:00",16,14,30,28
"2020-04-01 00:00:00",15,14,29.714285714285715,27.142857142857142
"2020-04-02 00:00:00",13,16,29.714285714285715,27
"2020-04-03 00:00:00",18,14,30.142857142857142,27.428571428571427
"2020-04-04 00:00:00",18,12,29.714285714285715,27.714285714285715
"2020-04-05 00:00:00",14,10,28.857142857142858,28.428571428571427
"2020-04-06 00:00:00",12,17,29,29.285714285714285
"2020-04-07 00:00:00",17,14,29.142857142857142,29.571428571428573
"2020-04-08 00:00:00",16,13,29.142857142857142,30
"2020-04-09 00:00:00",18,11,29.142857142857142,29.714285714285715
"2020-04-10 00:00:00",17,11,28.571428571428573,29.571428571428573
"2020-04-11 00:00:00",21,12,29,29.571428571428573
"2020-04-12 00:00:00",23,8,30,28.857142857142858
"2020-04-13 00:00:00",18,14,30.428571428571427,28.142857142857142
